player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zion Fowler-El,175413,WR,PITTSBURGH,1,7.0,0,0.0,,0,0,0,,0,0,268,0,,,52.8,,51.7,0.0,0,0,0,0.0,0,28,0,0,85.7,24,46.4,13,39.6,1,0,53.6,15,0,0,,,0.0
Tyrell Robinson,121607,HB,ARMY,1,19.0,0,0.0,0.0,0,1,0,,0,0,114,0,,68.6,71.4,,54.8,20.0,1,0,0,0.0,0,5,0,0,100.0,5,0.0,0,39.6,1,0,20.0,1,0,0,,,0.0
Lonnie Adkism,175610,WR,SM HOUSTON,1,3.0,0,100.0,,0,0,0,0.0,0,1,281,0,66.7,61.0,68.3,,67.0,0.0,0,0,4,0.0,0,5,0,1,100.0,5,100.0,5,83.3,1,0,0.0,0,4,1,1.0,4.0,0.8
Jordan Marshall,190837,HB,MICHIGAN,1,-3.0,0,0.0,,0,0,0,100.0,1,0,222,0,16.8,77.8,78.4,77.1,36.3,0.0,0,0,0,21.4,3,14,0,0,78.6,11,14.3,2,39.6,1,0,0.0,0,0,0,,,0.0
JJ Jenkins,109592,WR,BUFFALO,1,9.0,0,0.0,,0,0,0,,0,0,126,0,,,53.4,,52.6,0.0,0,0,0,0.0,0,22,0,0,95.5,21,13.6,3,39.6,1,0,86.4,19,0,0,,,0.0
Jamal Roberts,175912,HB,MISSOURI,1,-2.0,1,100.0,,0,0,0,0.0,0,0,229,0,66.7,64.3,53.7,72.9,56.1,0.0,0,0,12,8.3,1,12,0,1,91.7,11,16.7,2,116.7,1,0,8.3,1,12,14,14.0,12.0,1.09
Jackson Hawes,109374,TE,GA TECH,1,0.0,0,100.0,,0,0,0,0.0,0,0,176,0,66.7,61.0,54.0,71.2,51.6,45.8,11,0,7,16.7,4,24,2,1,79.2,19,54.2,13,95.8,1,0,0.0,0,7,7,7.0,7.0,0.37
Billy Lucas,109083,HB,LIBERTY,1,-1.0,0,100.0,,0,0,0,0.0,0,1,206,0,66.7,67.8,72.3,75.1,78.5,0.0,0,0,11,66.7,4,6,0,1,33.3,2,0.0,0,112.5,1,0,0.0,0,11,12,12.0,11.0,5.5
Alexander Capka-Jones,175953,WR,ILLINOIS,1,5.0,0,100.0,,0,0,0,0.0,0,0,187,0,66.7,61.0,55.8,,56.4,0.0,0,0,5,0.0,0,10,0,1,100.0,10,0.0,0,87.5,1,0,100.0,10,5,0,0.0,5.0,0.5
P.J. Wells,109040,WR,JVILLE ST,1,4.0,0,0.0,0.0,0,1,0,,0,0,196,0,,,53.7,,54.1,0.0,0,0,0,0.0,0,11,0,0,100.0,11,0.0,0,39.6,1,0,100.0,11,0,0,,,0.0
Chaz Ward,105622,FB,LA LAFAYET,1,1.0,1,100.0,,0,0,0,0.0,0,1,207,0,66.7,61.0,60.1,65.3,67.7,55.6,5,0,9,11.1,1,9,0,1,88.9,8,44.4,4,104.2,1,0,0.0,0,9,8,8.0,9.0,1.13
Cameron Bates,190986,WR,BOISE ST,1,5.0,0,0.0,0.0,0,1,0,,0,0,120,0,,,57.4,,57.9,0.0,0,0,0,0.0,0,3,0,0,66.7,2,33.3,1,39.6,1,0,66.7,2,0,0,,,0.0
Bill Davis,176332,HB,LA LAFAYET,1,-5.0,0,100.0,,0,0,0,0.0,0,0,207,0,66.7,72.6,52.5,72.6,59.0,0.0,0,0,-3,9.1,1,11,0,1,81.8,9,0.0,0,79.2,1,0,9.1,1,-3,2,2.0,-3.0,-0.33
Caden Jensen,176351,TE,LA LAFAYET,1,2.0,0,100.0,,0,0,0,0.0,0,1,207,0,70.7,62.9,57.8,68.6,57.4,60.0,15,0,12,8.0,2,25,0,1,88.0,22,32.0,8,116.7,1,0,8.0,2,12,10,10.0,12.0,0.55
KeDarius Wade,176365,WR,LA LAFAYET,1,6.0,0,0.0,,0,0,0,,0,0,207,0,,,56.9,,57.3,0.0,0,0,0,0.0,0,4,0,0,100.0,4,25.0,1,39.6,1,0,75.0,3,0,0,,,0.0
Adam Jones,104182,WR,ARK STATE,1,21.0,0,0.0,,0,0,0,,0,0,113,0,,,52.3,,52.1,0.0,0,0,0,0.0,0,19,0,0,100.0,19,5.3,1,39.6,1,0,94.7,18,0,0,,,0.0
Rahmir Johnson,101655,HB,NEBRASKA,1,4.0,0,100.0,,0,0,0,0.0,0,1,238,0,66.7,72.6,72.2,27.5,62.8,0.0,0,0,9,33.3,7,21,0,1,61.9,13,9.5,2,104.2,1,0,0.0,0,9,5,5.0,9.0,0.69
Jacob Bernard,97218,WR,LA LAFAYET,1,23.0,0,100.0,100.0,1,1,0,0.0,0,1,207,0,66.7,68.0,59.9,,63.2,0.0,0,0,25,0.0,0,17,1,1,94.1,16,11.8,2,118.8,1,0,88.2,15,25,2,2.0,25.0,1.56
