player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Rocco Becht,157567,QB,IOWA STATE,1,69.7,33,36,9.8,2.78,1,4,10.3,61.1,22,0,16,4.3,40,1,13,193,39.0,71.6,71.7,61.4,0,0,43,0,6.3,112.0,2.5,1,3,0,2,3,1,2.3,270,7.5
Jaxson Dart,146409,QB,OLE MISS,1,84.8,33,35,8.3,2.6,1,4,11.4,77.1,27,0,17,3.6,44,1,19,226,70.9,81.4,82.9,62.5,0,0,44,1,17.6,152.6,6.8,3,5,0,1,4,1,2.3,404,11.5
Jordan McCloud,101058,QB,TEXAS ST,1,81.3,32,35,9.1,2.41,0,0,0.0,74.3,26,0,9,0.0,40,0,14,314,37.7,58.3,60.5,56.3,1,1,41,1,22.2,98.2,5.0,2,2,0,2,1,2,4.9,307,8.8
DJ Lagway,184426,QB,FLORIDA,1,71.9,32,35,10.8,3.23,0,1,2.8,62.9,22,0,11,4.3,38,1,13,163,34.1,51.3,59.2,35.0,0,2,39,0,9.1,76.5,2.6,1,2,0,3,1,2,5.1,305,8.7
JC French IV,162521,QB,GA SOUTHRN,1,71.0,31,34,6.2,2.8,1,2,5.6,58.8,20,0,18,9.1,45,2,13,174,71.7,69.0,69.2,61.2,0,4,47,0,16.7,47.3,6.7,3,7,1,1,1,2,4.3,212,6.2
Garrett Nussmeier,146757,QB,LSU,1,78.8,33,34,9.1,2.51,0,5,14.7,70.6,24,0,12,7.7,35,2,16,211,68.6,87.2,85.2,64.0,0,1,35,1,0.0,115.2,0.0,0,1,0,1,3,1,2.9,303,8.9
LaNorris Sellers,174326,QB,S CAROLINA,1,78.8,33,34,10.0,3.64,1,4,11.8,70.6,24,0,12,7.7,38,2,13,289,71.8,78.1,77.9,66.7,0,0,38,1,16.7,102.5,5.3,2,2,0,0,1,0,0.0,259,7.6
Kyle McCord,145053,QB,SYRACUSE,1,76.5,34,34,11.6,2.63,0,5,13.5,70.6,24,0,9,7.7,38,2,18,304,69.5,86.0,84.0,65.3,0,0,41,0,33.3,152.6,7.9,3,1,0,0,5,1,2.4,453,13.3
Will Hammond,184898,QB,TEXAS TECH,1,66.7,33,34,8.2,2.45,1,1,2.9,58.8,20,0,5,9.1,36,2,14,315,70.1,53.3,47.7,65.4,0,2,36,0,20.0,70.7,2.8,1,1,0,0,1,3,8.3,280,8.2
Tyler Huff,142567,QB,JVILLE ST,1,64.7,34,34,8.2,2.26,0,3,8.1,61.8,21,1,16,4.5,38,1,9,196,72.8,58.2,59.3,59.3,0,1,41,1,25.0,95.7,10.5,4,0,0,0,1,2,4.9,364,10.7
