player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
KD Daniels,184419,HB,FLORIDA,1,-4.0,0,100.0,,0,0,0,0.0,0,0,163,0,66.7,68.9,57.0,71.1,57.5,0.0,0,0,3,12.5,1,8,0,1,87.5,7,25.0,2,79.2,1,0,12.5,1,3,7,7.0,3.0,0.43
Jeremiah Jones,199800,WR,NEBRASKA,1,6.0,0,100.0,,0,0,0,0.0,0,0,238,0,66.7,61.0,59.7,,59.6,0.0,0,0,6,0.0,0,2,0,1,100.0,2,0.0,0,91.7,1,0,100.0,2,6,0,0.0,6.0,3.0
Charleston French,190846,HB,N CAROLINA,2,-2.0,0,100.0,,0,0,0,0.0,0,0,245,0,66.7,64.3,55.9,26.4,64.8,0.0,0,0,1,33.3,1,3,0,1,66.7,2,0.0,0,79.2,1,0,0.0,0,1,3,3.0,1.0,0.5
Jalil Hall,205342,WR,PURDUE,1,6.0,0,100.0,,0,0,0,0.0,0,1,273,0,66.7,61.0,79.1,,74.9,0.0,0,0,7,0.0,0,1,0,1,100.0,1,0.0,0,95.8,1,0,100.0,1,7,1,1.0,7.0,7.0
Ayden Harris,184075,HB,KENT STATE,2,-4.0,0,0.0,,0,0,0,,0,0,201,0,,67.3,63.4,,57.5,0.0,0,0,0,0.0,0,3,0,0,100.0,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Shane Porter,144592,HB,SM HOUSTON,3,-3.0,0,100.0,,0,0,0,0.0,0,0,281,0,70.7,68.4,56.6,70.0,60.4,0.0,0,0,7,6.7,1,15,0,1,86.7,13,6.7,1,95.8,1,0,0.0,0,7,10,10.0,7.0,0.54
Ethan Day,174815,ED,N TEXAS,2,9.0,0,100.0,,0,0,0,0.0,0,1,251,0,66.7,61.0,77.0,66.3,88.8,100.0,3,0,2,66.7,2,3,1,1,33.3,1,0.0,0,118.8,1,1,0.0,0,2,0,0.0,2.0,2.0
Kelan Robinson,144571,WR,E CAROLINA,2,5.0,0,100.0,,0,0,0,0.0,0,0,156,0,66.7,61.0,54.6,,54.3,0.0,0,0,7,0.0,0,10,0,1,90.0,9,0.0,0,95.8,1,0,90.0,9,7,2,2.0,7.0,0.78
Mack Moeller,144563,WR,KANSAS,1,7.0,0,100.0,,0,0,0,0.0,0,0,198,0,66.7,61.0,58.2,,58.1,0.0,0,0,8,0.0,0,4,0,1,100.0,4,0.0,0,100.0,1,0,100.0,4,8,1,1.0,8.0,2.0
Peter Knudson,164482,TE,ALABAMA,1,4.0,0,0.0,,0,0,0,,0,0,103,0,,,51.5,,54.1,100.0,3,0,0,0.0,0,3,0,0,66.7,2,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Dylan Goffney,144361,WR,SMU,1,6.0,0,100.0,,0,0,0,0.0,0,1,287,0,66.7,61.0,71.7,,70.6,0.0,0,0,16,0.0,0,3,0,1,100.0,3,100.0,3,118.8,1,0,0.0,0,16,10,10.0,16.0,5.33
Quinton Stewart,122993,TE,OKLA STATE,2,1.0,0,0.0,,0,0,0,,0,0,262,0,,,57.1,58.0,50.3,43.2,16,0,0,43.2,16,37,1,0,56.8,21,40.5,15,39.6,1,0,0.0,0,0,0,,,0.0
Luke Reed,190982,HB,AKRON,1,-5.0,0,100.0,,0,0,0,0.0,0,0,102,0,66.7,64.3,60.4,,64.8,0.0,0,0,7,0.0,0,2,0,1,100.0,2,0.0,0,95.8,1,0,0.0,0,7,12,12.0,7.0,3.5
Elijah Burress,199836,WR,NOTRE DAME,2,37.0,0,0.0,0.0,0,1,0,,0,0,258,0,,,55.5,,54.9,0.0,0,0,0,0.0,0,8,0,0,100.0,8,0.0,0,39.6,1,0,100.0,8,0,0,,,0.0
Nate Roberts,199849,TE,OHIO STATE,4,7.0,0,0.0,,0,0,0,100.0,1,0,260,0,16.4,,51.4,71.1,37.2,41.7,5,0,0,16.7,2,12,0,0,75.0,9,16.7,2,39.6,1,0,8.3,1,0,0,,,0.0
Eli Jacon-Duffy,191009,TE,BOWL GREEN,5,21.0,0,100.0,,0,0,0,0.0,0,1,122,0,66.7,61.0,59.8,29.6,67.0,91.7,11,0,22,25.0,3,12,0,1,66.7,8,8.3,1,118.8,1,0,0.0,0,22,1,1.0,22.0,2.75
Trey Weary,174747,WR,TENNESSEE,2,6.0,0,100.0,,0,0,0,0.0,0,1,307,0,66.7,61.0,54.5,,54.0,0.0,0,0,6,0.0,0,16,0,1,100.0,16,0.0,0,91.7,1,0,100.0,16,6,0,0.0,6.0,0.38
Quincy Porter,199850,WR,OHIO STATE,2,8.0,0,100.0,,0,0,0,0.0,0,1,260,0,66.7,61.0,57.5,,64.7,0.0,0,0,15,0.0,0,6,1,1,100.0,6,0.0,0,118.8,1,0,100.0,6,15,7,7.0,15.0,2.5
Phillip Bell,199859,WR,OHIO STATE,1,7.0,0,0.0,0.0,0,1,0,,0,0,260,0,,,56.6,,56.8,0.0,0,0,0,0.0,0,2,0,0,100.0,2,100.0,2,39.6,1,0,0.0,0,0,0,,,0.0
