player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Yulkeith Brown,146985,WR,TULANE,1,4,0,319,6.0,0,0.0,0.0,0,1,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0,0,9.0,0,100.0,,0,0,0.0,0,0,0,66.7,55.2,0,9,0.0,0,11,1,100.0,11,104.2,1,9.1,0,9,0,0.0,9.0,0.82
Moochie Dixon,123112,WR,SMU,1,4,0,287,21.0,0,0.0,0.0,0,1,,0,0,0,,56.7,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,17.7,0,66.7,66.7,2,3,0.0,0,2,0,70.7,65.2,0,15,0.0,0,18,2,94.4,17,95.1,3,17.6,0,27,0,0.0,13.5,1.59
Lance LeGendre,97779,WR,LA LAFAYET,1,4,0,207,8.0,0,100.0,100.0,1,1,0.0,0,1,0,73.1,69.4,0,20,0.0,0,13,3,92.3,12,113.9,3,25.0,0,34,10,3.3,11.3,2.83,0,18.0,0,100.0,,0,0,0.0,0,1,0,66.7,64.4,0,47,0.0,0,18,1,94.4,17,118.8,1,5.9,0,47,29,29.0,47.0,2.76
Terrance Carter Jr.,156742,TE,LA LAFAYET,1,4,0,207,12.0,0,0.0,,0,0,100.0,1,0,0,16.4,37.9,0,0,15.4,2,13,0,84.6,11,39.6,3,27.3,0,0,0,,,0.0,0,19.0,0,0.0,0.0,0,1,,0,0,0,,49.4,0,0,5.3,1,19,0,89.5,17,39.6,1,5.9,0,0,0,,,0.0
Latrell Caples,128119,WR,BOISE ST,1,4,0,120,27.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,69.5,0,22,0.0,0,10,1,100.0,10,158.3,1,10.0,1,22,0,0.0,22.0,2.2,0,19.0,0,33.3,0.0,0,1,0.0,0,1,0,66.7,64.0,0,15,0.0,0,9,1,100.0,9,50.7,3,33.3,0,15,2,2.0,15.0,1.67
Makhi Hughes,158417,HB,TULANE,1,3,0,319,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,6.5,0,100.0,,0,0,0.0,0,1,0,70.7,62.0,0,10,23.1,3,13,2,76.9,10,106.3,2,20.0,0,19,6,3.0,9.5,1.9
Terrance Ferguson,146563,TE,OREGON,1,3,0,264,,0,,,0,0,,0,0,0,,52.6,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0,0,7.5,0,100.0,,0,0,0.0,0,1,0,70.7,63.2,0,20,6.7,1,15,2,93.3,14,118.8,2,14.3,0,26,11,5.5,13.0,1.86
Quintrevion Wisner,176190,HB,TEXAS,1,3,0,311,-1.0,0,100.0,,0,0,0.0,0,0,0,66.7,56.9,0,-1,31.3,5,16,1,62.5,10,79.2,1,10.0,0,-1,0,0.0,-1.0,-0.1,0,-3.5,0,100.0,,0,0,0.0,0,1,0,70.7,65.1,0,11,32.1,9,28,2,67.9,19,100.0,2,10.5,0,16,23,11.5,8.0,0.84
Dominic Lovett,146872,WR,GEORGIA,1,3,0,173,-3.0,0,100.0,,0,0,0.0,0,0,0,66.7,56.2,0,-2,0.0,0,7,1,85.7,6,79.2,1,16.7,0,-2,1,1.0,-2.0,-0.33,0,-3.5,0,100.0,,0,0,0.0,0,0,0,70.7,54.6,0,4,0.0,0,17,2,82.4,14,79.2,2,14.3,0,2,9,4.5,1.0,0.14
Rodney Harris II,133616,WR,OHIO,1,3,0,259,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,11,0,90.9,10,0.0,0,0.0,0,0,0,,,0.0,0,6.3,0,100.0,,0,0,0.0,0,1,0,73.1,59.1,0,11,0.0,0,20,3,100.0,20,104.2,3,15.0,0,27,8,2.7,9.0,1.35
