player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
TJ Lott,172287,WR,DOMINION,2,0,263,60.2,100.0,5,27.8,5,56.1,0,100.0,18,18,59.8,100.0,11,61.1,11
Perry Thompson,191279,WR,AUBURN,2,0,115,60.7,100.0,5,27.8,5,62.9,0,100.0,18,18,62.4,100.0,13,72.2,13
Tristan Wilson,157168,C,MISSOURI,2,0,229,52.6,100.0,6,33.3,6,57.3,0,100.0,18,18,63.2,100.0,11,61.1,11
Ben Prosper,198369,WR,E MICHIGAN,2,0,160,60.0,50.0,1,5.6,2,59.2,0,90.0,18,20,58.6,100.0,15,83.3,15
Brendan Doyle,169941,TE,STANFORD,2,0,300,60.2,100.0,9,50.0,9,54.1,0,100.0,18,18,50.6,100.0,9,50.0,9
Byrd Ficklin,199457,QB,UTAH,2,0,328,60.3,64.3,9,50.0,14,60.6,0,69.2,18,26,60.0,90.0,9,50.0,10
Noah Moeaki,189649,TE,BYU,2,0,128,60.0,100.0,1,5.6,1,76.4,0,100.0,18,18,73.8,100.0,14,77.8,14
Richie Hoskins,163715,WR,VANDERBILT,2,0,333,59.4,100.0,9,50.0,9,60.7,0,100.0,18,18,60.7,100.0,5,27.8,5
Baron Tipton,190627,WR,N TEXAS,2,0,251,60.7,100.0,7,38.9,7,60.1,0,100.0,18,18,59.5,100.0,11,61.1,11
Tyler Little,172200,TE,ARK STATE,1,0,113,57.8,100.0,4,22.2,4,57.1,0,100.0,18,18,58.1,100.0,14,77.8,14
Brayden Loftin,157773,TE,KANSAS ST,3,0,199,58.7,100.0,12,66.7,12,67.0,0,100.0,18,18,70.6,100.0,6,33.3,6
Dante Daniels,183360,TE,NC STATE,2,0,248,61.5,100.0,9,50.0,9,61.0,0,100.0,18,18,58.1,100.0,3,16.7,3
Wyatt Sullivan,156534,TE,USF,2,0,327,46.4,100.0,5,27.8,5,42.6,0,100.0,18,18,58.6,100.0,9,50.0,9
Josh Sapp,156238,TE,CLEMSON,2,0,140,62.2,100.0,12,66.7,12,60.9,0,100.0,18,18,58.4,100.0,5,27.8,5
Jakolbe Baldwin,143984,WR,MARSHALL,2,0,214,56.2,100.0,8,44.4,8,57.5,0,94.7,18,19,60.4,100.0,7,38.9,7
Jonathan Harder,164145,G,TOLEDO,1,0,316,52.2,100.0,8,44.4,8,56.6,0,100.0,18,18,62.8,100.0,10,55.6,10
Jyron Waiters,184628,WR,E CAROLINA,2,0,156,59.4,100.0,2,11.1,2,45.7,0,100.0,18,18,61.0,100.0,16,88.9,16
Turner Corcoran,129684,T,NEBRASKA,2,0,238,64.5,100.0,7,38.9,7,59.1,0,100.0,18,18,65.5,100.0,9,50.0,9
Mazeo Bennett Jr.,184488,WR,S CAROLINA,2,0,289,60.2,100.0,8,44.4,8,61.6,0,100.0,18,18,61.7,100.0,10,55.6,10
Michael Barrow,189467,WR,NAVY,2,0,237,64.1,85.7,12,66.7,14,59.8,0,90.0,18,20,,,0,0.0,0
Patrick Gurd,129747,TE,CINCINNATI,2,0,138,38.2,100.0,5,27.8,5,37.6,0,100.0,18,18,47.9,100.0,12,66.7,12
Jaylen Poe,171324,HB,N ILLINOIS,2,0,254,67.1,85.7,6,33.3,7,63.7,0,90.0,18,20,54.4,100.0,12,66.7,12
Max Ware,163277,WR,HAWAII,2,0,180,60.7,100.0,5,27.8,5,62.6,0,100.0,18,18,61.9,100.0,11,61.1,11
Amir Jackson,190273,TE,FLORIDA,2,0,163,46.6,100.0,3,16.7,3,66.1,0,100.0,18,18,64.5,100.0,15,83.3,15
Gus Hawkins,188684,T,KANSAS ST,2,0,199,57.6,100.0,11,61.1,11,53.0,0,100.0,18,18,51.7,100.0,7,38.9,7
Zack Card,173726,WR,OREGON ST,2,0,265,59.9,100.0,9,50.0,9,58.6,0,100.0,18,18,60.1,100.0,6,33.3,6
Bennett Warren,188894,T,TENNESSEE,1,0,307,63.6,100.0,16,88.9,16,63.5,0,100.0,18,18,60.1,100.0,2,11.1,2
Cole Weaver,171295,WR,MIAMI OH,2,0,221,60.3,100.0,4,22.2,4,63.0,0,100.0,18,18,62.7,100.0,14,77.8,14
Landen Thomas,183310,TE,FLORIDA ST,2,0,167,49.6,100.0,12,66.7,12,49.8,0,100.0,18,18,71.3,100.0,4,22.2,4
Cade Conley,145709,TE,W MICHIGAN,2,0,347,58.0,100.0,9,50.0,9,48.2,0,100.0,18,18,45.6,100.0,7,38.9,7
Tyrell Henry,158385,WR,WISCONSIN,2,0,349,60.0,50.0,3,16.7,6,59.7,0,85.7,18,21,60.5,100.0,13,72.2,13
Roger Saleapaga,184864,TE,OREGON,2,0,264,40.6,100.0,9,50.0,9,38.0,0,100.0,18,18,47.4,100.0,8,44.4,8
