player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Maddux Madsen,163379,QB,BOISE ST,1,4,0,0,0.0,0,0,-1,0,0,0,1,0.0,1,2,120,0,0,69.7,68.8,76.6,62.7,,,72.4,60.0,14,0,0,0,0,36,14,1,0,3,1,13,15,3.75,3.3,,0
Jaylon Jackson,139386,HB,IOWA STATE,1,4,0,0,0.0,0,0,15,0,0,0,12,0.0,0,0,193,0,2,71.5,64.2,73.6,,,52.9,69.9,,9,0,0,0,13,4,0,0,0,4,0,15,12,3.0,3.8,0.0,2
Connor Moberly,184835,QB,IOWA STATE,1,3,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,193,0,1,65.7,36.3,69.8,39.3,,,52.6,60.0,4,0,0,0,0,3,6,2,0,1,0,10,4,1.33,3.3,,0
Trenton Bourguet,97285,QB,ARIZONA ST,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,110,0,0,67.3,62.0,66.6,,,,60.8,,-1,0,0,0,0,3,0,0,0,3,0,-3,0,0.0,-1.0,,0
Henry Hesson,145798,QB,MIAMI OH,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,221,0,0,61.8,48.1,69.8,,,,52.6,60.0,3,0,0,0,0,7,4,2,0,0,0,4,13,6.5,2.0,,0
Nick Poulos,188474,QB,OHIO,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,259,0,0,65.5,61.4,67.4,,,,60.1,60.0,0,0,0,0,0,4,0,0,0,2,0,-1,0,0.0,-0.5,,0
Jaydon Blue,157303,HB,TEXAS,1,2,0,0,0.0,0,0,2,0,0,0,2,0.0,0,1,311,0,0,66.9,61.9,73.1,,,58.9,63.1,59.4,3,0,-8,2,10,4,0,0,2,4,0,2,2,1.0,1.0,-0.8,1
Shaadie Clayton-Johnson,131674,HB,TULANE,1,2,1,0,0.0,0,0,11,0,0,1,9,225.0,0,0,319,0,0,65.5,62.2,70.5,,,57.8,63.1,59.3,9,0,0,0,4,4,0,0,0,2,0,11,9,4.5,5.5,0.0,2
Kevin Davis,130517,HB,MIAMI OH,1,2,1,0,0.0,0,0,6,0,0,1,4,100.0,0,1,221,0,0,69.4,57.1,72.2,,,54.7,59.7,,6,0,0,0,9,2,0,0,1,2,0,6,4,2.0,3.0,0.0,2
Dewayne Coleman,163179,QB,ARMY,1,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,114,0,0,65.5,60.9,65.5,,,,60.1,,-1,0,0,0,0,2,0,0,0,2,0,-3,0,0.0,-1.5,,0
