player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Biron Rossell,78388,T,LA TECH,1,0,208,20.3,1,1,14,100.0,100.0,92.9,1,2,0,15,15,4.0,1,1,8,100.0,100.0,87.5,2,0,9,9
JB Nelson,164180,G,PENN STATE,1,0,266,83.0,0,0,14,100.0,100.0,100.0,0,0,0,15,15,79.7,0,0,5,100.0,100.0,100.0,0,0,6,6
Zovon Lindsay,98233,T,COAST CAR,1,0,141,78.8,0,0,15,100.0,100.0,100.0,0,0,0,15,15,77.1,0,0,3,100.0,100.0,100.0,0,0,3,3
Jack Sherwin,98226,T,W MICHIGAN,1,0,347,58.9,0,2,11,100.0,100.0,90.9,0,2,0,15,15,71.7,0,1,6,100.0,100.0,91.7,1,0,8,8
Wes Hoeh,144049,TE,SYRACUSE,1,0,304,71.3,0,0,13,100.0,100.0,100.0,0,0,0,15,15,67.1,0,0,8,100.0,100.0,100.0,0,0,9,9
Sam Hill,152773,G,FIU,1,0,166,0.0,1,2,15,100.0,100.0,90.0,0,3,0,15,15,75.5,0,0,2,100.0,100.0,100.0,0,0,2,2
Sam Glover,121844,T,NAVY,1,0,237,82.6,0,0,12,100.0,100.0,100.0,0,0,0,14,14,,0,0,0,,,,0,0,0,0
Jonah Gambill,121763,G,MEMPHIS,1,0,218,70.3,0,0,13,100.0,100.0,100.0,0,0,0,14,14,78.1,0,0,5,100.0,100.0,100.0,0,0,5,5
Trevonte Sylvester,123682,T,HOUSTON,1,1,182,40.9,0,3,13,100.0,100.0,88.5,1,3,0,14,14,59.0,0,1,4,100.0,100.0,87.5,1,0,4,4
Lyndell Hudson Jr.,81643,T,FIU,1,0,166,58.4,1,0,14,100.0,100.0,96.4,0,1,0,14,14,76.7,0,0,2,100.0,100.0,100.0,0,0,2,2
Justice Ellison,123383,HB,WAKE,1,0,339,49.3,0,1,12,54.5,56.0,95.8,0,1,0,14,25,39.9,0,1,6,75.0,75.0,91.7,1,0,6,8
David Hixon,144315,C,NAVY,1,0,237,50.1,0,0,12,100.0,100.0,100.0,0,0,0,14,14,,0,0,0,,,,0,0,0,0
Christian Turner,83703,HB,WAKE,1,0,339,51.4,0,1,12,80.0,73.7,87.5,0,2,1,14,19,56.5,0,1,4,80.0,80.0,87.5,1,0,4,5
Kip Frankland,100901,T,NAVY,1,0,237,81.0,0,0,12,100.0,100.0,100.0,0,0,0,14,14,,0,0,0,,,,0,0,0,0
Tyler Doty,130407,G,BUFFALO,1,0,126,80.2,0,0,13,100.0,100.0,100.0,0,0,0,14,14,77.8,0,0,4,100.0,100.0,100.0,0,0,4,4
Andre Harris Jr.,58501,T,DUKE,1,0,154,63.3,0,0,11,100.0,100.0,100.0,2,0,0,14,14,58.8,0,0,7,100.0,100.0,100.0,0,0,9,9
Joshua Pena,121864,G,NAVY,1,0,237,83.2,0,0,12,100.0,100.0,100.0,0,0,0,14,14,,0,0,0,,,,0,0,0,0
Connor McLaughlin,131771,T,STANFORD,1,0,300,2.1,0,0,14,100.0,100.0,100.0,0,0,0,14,14,29.9,0,0,4,100.0,100.0,100.0,0,0,4,4
Connor McMahon,144330,G,NAVY,1,0,237,37.3,0,1,12,100.0,100.0,95.8,0,1,0,14,14,,0,0,0,,,,0,0,0,0
Dedrick Parson,78572,HB,HAWAII,1,0,180,56.2,0,2,11,36.7,42.4,90.9,0,2,0,14,33,20.0,0,2,2,16.7,28.6,50.0,2,0,4,14
Trey Tuggle,123236,G,TULANE,1,0,319,81.0,0,0,13,100.0,100.0,100.0,0,0,0,14,14,76.9,0,0,3,100.0,100.0,100.0,0,0,4,4
Kyle Monangai,129891,HB,RUTGERS,1,0,278,84.8,0,0,14,51.9,50.0,100.0,0,0,0,14,28,84.5,0,0,8,57.1,57.1,100.0,0,0,8,14
Cole Motes,128393,T,UTAH ST,1,0,329,78.3,0,0,12,100.0,100.0,100.0,0,0,0,13,13,,0,0,0,,,,0,0,0,0
Braelon Allen,145159,HB,WISCONSIN,1,0,349,53.1,0,1,13,59.1,56.5,96.2,0,1,0,13,23,30.5,0,1,6,54.5,50.0,91.7,1,0,6,12
Damion Daley,75770,G,APP STATE,1,0,108,80.2,0,0,13,100.0,100.0,100.0,0,0,0,13,13,76.6,0,0,3,100.0,100.0,100.0,0,0,3,3
Alec Jackson,56550,G,AUBURN,1,0,115,81.0,0,0,13,100.0,100.0,100.0,0,0,0,13,13,72.0,0,0,1,100.0,100.0,100.0,0,0,1,1
Charlie Offerdahl,146314,HB,COLORADO,1,0,143,83.1,0,0,12,38.7,37.1,100.0,0,0,0,13,35,76.9,0,0,1,25.0,33.3,100.0,0,0,2,6
Matt Carrick,57101,G,MICH STATE,1,0,223,81.4,0,0,13,100.0,100.0,100.0,0,0,0,13,13,78.0,0,0,3,100.0,100.0,100.0,0,0,3,3
Chase Lundt,98515,T,UCONN,1,0,146,56.7,0,0,13,100.0,100.0,100.0,0,0,0,13,13,71.0,0,0,1,100.0,100.0,100.0,0,0,1,1
Nate Noel,122249,HB,APP STATE,1,0,108,50.8,0,1,13,72.2,72.2,96.2,0,1,0,13,18,13.5,0,1,2,50.0,50.0,75.0,1,0,2,4
William Lay III,62971,C,GA TECH,1,0,176,55.3,0,0,12,100.0,100.0,100.0,1,0,0,13,13,76.3,0,0,3,100.0,100.0,100.0,0,0,4,4
Mike Lofton,123751,G,USF,1,0,327,0.0,0,3,13,100.0,100.0,88.5,0,3,0,13,13,0.0,0,3,8,100.0,100.0,81.2,3,0,8,8
Tyjae Spears,97195,HB,TULANE,1,0,319,33.3,0,1,13,41.9,38.2,88.5,0,2,1,13,34,15.1,0,1,4,36.4,33.3,62.5,2,1,4,12
Jake Roberts,121905,TE,N TEXAS,1,0,251,68.3,0,1,11,28.2,29.3,95.5,0,1,0,12,41,75.1,0,0,4,33.3,33.3,100.0,0,0,4,12
Ta'Zhawn Henry,77776,HB,HOUSTON,1,0,182,73.0,0,1,10,50.0,54.5,95.0,1,1,0,12,22,64.7,0,1,5,62.5,66.7,90.0,1,0,6,9
Jordyn Slaughter,81674,G,ILLINOIS,1,0,187,0.0,0,2,12,100.0,100.0,91.7,0,2,0,12,12,0.0,0,2,6,100.0,100.0,83.3,2,0,6,6
Caleb Chandler,59814,G,LOUISVILLE,1,0,210,80.9,0,0,11,100.0,100.0,100.0,0,0,0,12,12,75.1,0,0,1,100.0,100.0,100.0,0,0,2,2
Carter Warren,60023,T,PITTSBURGH,1,0,268,81.2,0,0,11,100.0,100.0,100.0,0,0,0,12,12,78.8,0,0,3,100.0,100.0,100.0,0,0,4,4
Jack Bradley,98432,TE,RICE,1,0,275,72.1,0,0,11,32.4,32.4,100.0,0,0,0,12,37,,0,0,0,0.0,0.0,,0,0,0,9
Maximilian Mang,123048,TE,SYRACUSE,1,0,304,77.4,0,0,10,71.4,75.0,100.0,0,0,0,12,16,75.3,0,0,8,88.9,90.0,100.0,0,0,9,10
Albert Reese IV,146848,T,MISS STATE,1,0,227,59.1,0,0,12,100.0,100.0,91.7,0,1,1,12,12,36.3,0,0,4,100.0,100.0,75.0,1,1,4,4
Derrell Bailey Jr.,123340,T,USF,1,0,327,51.7,0,0,12,100.0,100.0,100.0,0,0,0,12,12,71.9,0,0,1,100.0,100.0,100.0,0,0,1,1
Nolan McCormick,145880,HB,OHIO,1,0,259,14.8,0,2,9,20.9,22.4,88.9,0,2,0,11,49,20.5,0,2,9,36.0,32.1,88.9,2,0,9,28
Velton Gardner,97110,HB,SMU,1,0,287,44.8,0,0,10,41.7,44.0,100.0,0,0,0,11,25,64.9,0,0,5,83.3,85.7,100.0,0,0,6,7
Anton Hall Jr.,144311,FB,NAVY,1,0,237,79.5,0,0,10,100.0,91.7,100.0,0,0,0,11,12,,0,0,0,,,,0,0,0,0
Beau Stephens,144860,G,IOWA,1,0,192,46.3,0,1,10,100.0,100.0,95.0,0,1,0,11,11,21.1,0,1,4,100.0,100.0,87.5,1,0,4,4
Henry Pearson,83930,TE,APP STATE,1,0,108,42.7,0,0,10,37.0,39.3,100.0,0,0,0,11,28,69.5,0,0,1,20.0,20.0,100.0,0,0,1,5
Wes Dorsey,98513,T,W KENTUCKY,1,0,346,17.2,0,1,11,100.0,100.0,95.5,0,1,0,11,11,0.0,0,1,1,100.0,100.0,50.0,1,0,1,1
Ise Matautia,146116,G,NEW MEXICO,1,0,241,42.4,0,0,11,100.0,100.0,90.9,0,1,1,11,11,12.0,0,0,3,100.0,100.0,66.7,1,1,3,3
