player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jaylin Alderman,144145,LB,MIAMI FL,1,0,0,,0,0,220,0,0,,36.9,66.3,,47.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,
Ryheem Craig,144151,ED,E CAROLINA,1,1,0,,0,0,156,0,0,50.7,42.8,75.1,63.6,41.9,50.4,0,2,0,0,,33.3,1,0,0,0.0,0,0,0,4,0,3,17,12,0,0,12,0,0,5,5,9,0,1,1,1,0,2,0,0,0,
Jackson Hamilton,144157,LB,GA TECH,1,0,0,,0,0,176,0,0,57.6,56.1,73.9,55.8,58.1,20.5,0,1,0,0,,100.0,3,0,0,0.0,0,0,0,20,0,10,27,5,0,0,5,0,0,22,3,14,2,0,0,0,0,1,0,0,0,
TJ Quinn,144173,LB,LOUISVILLE,1,2,0,100.0,0,0,210,0,0,43.4,50.9,74.0,54.4,72.0,30.0,0,0,0,0,34,40.0,2,0,0,118.8,2,0,0,30,0,15,31,0,0,0,0,0,0,31,4,12,1,1,1,0,2,0,0,43,22,21.5
Bernard Gooden,144189,DI,USF,1,2,0,100.0,0,0,327,0,0,50.9,67.6,78.5,68.5,66.6,52.2,0,5,0,0,13,20.0,1,0,0,118.8,1,0,0,0,0,2,82,82,0,42,17,23,0,0,52,28,0,1,2,1,1,5,0,13,2,13.0
DaShawn Jones,144195,CB,ALABAMA,1,2,0,75.0,0,0,103,0,0,69.4,68.7,77.4,57.7,64.5,78.0,1,0,0,0,10,20.0,1,0,0,77.1,3,0,0,9,1,15,48,0,0,0,0,0,0,48,1,32,38,1,2,1,4,1,0,8,5,2.7
Demarcus Griffin-Taylor,144249,CB,LA TECH,1,1,0,,0,0,208,0,0,70.1,47.9,0.0,,43.6,32.8,0,0,0,0,,33.3,1,0,1,0.0,0,0,0,33,18,6,52,1,0,0,1,0,0,51,0,46,0,0,1,0,0,0,0,0,0,
Greg Rubin,144280,S,MEMPHIS,1,2,0,0.0,0,1,218,0,0,70.0,80.2,76.7,66.4,89.4,74.4,0,1,0,0,,12.5,1,0,0,39.6,0,0,0,47,0,41,77,4,0,0,4,0,15,73,3,33,10,2,5,1,1,1,0,0,0,
Cameron Smith,144281,S,TCU,1,2,0,0.0,0,0,305,0,0,67.7,72.3,74.4,,73.7,77.1,0,0,0,1,,0.0,0,0,0,0.0,0,0,0,21,0,20,35,0,0,0,0,0,9,35,0,15,5,0,0,0,1,0,0,0,0,
William Whitlow Jr.,144288,ED,MEMPHIS,1,1,0,,0,0,218,0,0,,48.8,78.5,57.5,43.1,71.1,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,54,53,0,13,33,7,0,1,31,23,0,0,0,0,0,2,0,0,0,
Marcus Bleazard,144293,LB,NAVY,1,0,0,,0,0,237,0,0,60.0,70.7,68.9,58.8,70.6,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,1,6,1,0,0,1,0,0,5,1,4,0,1,1,0,0,0,0,0,0,
