player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Morice Blackwell Jr.,144733,LB,TEXAS,1,0,0,,0,0,311,0,0,62.8,71.4,73.5,,72.3,77.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,6,12,2,0,0,2,0,0,10,0,6,3,0,2,0,0,0,0,0,0,
Barryn Sorrell,144739,ED,TEXAS,1,0,1,,0,0,311,0,0,63.0,73.3,77.9,70.8,65.2,76.2,0,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,49,49,0,1,38,10,0,0,37,10,0,2,2,1,0,4,0,0,0,
Blake Burris,144770,DI,SMU,1,0,0,,0,0,287,0,0,,61.8,66.6,,60.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Jordan Hancock,145067,S,OHIO STATE,1,0,0,50.0,0,0,260,0,0,62.7,63.3,79.1,,63.3,76.2,0,0,0,0,17,0.0,0,0,0,79.2,1,0,0,1,0,40,58,0,0,0,0,0,39,58,0,18,18,0,1,0,2,0,0,17,1,17.0
Denzel Burke,145070,CB,OHIO STATE,1,0,0,0.0,0,0,260,0,0,64.2,64.8,76.1,,62.7,,0,0,0,0,,,0,0,0,39.6,0,0,0,1,49,33,50,0,0,0,0,0,0,50,0,17,0,0,0,0,1,0,0,0,0,
Jack Sawyer,145071,ED,OHIO STATE,1,1,2,,0,0,260,0,0,60.0,79.5,77.6,75.6,71.0,61.3,0,5,0,0,,20.0,1,0,0,0.0,0,2,0,0,0,0,43,43,0,0,41,2,0,0,27,16,0,4,3,0,0,7,0,0,0,
Andre Turrentine,145072,S,TENNESSEE,1,0,0,100.0,0,0,307,0,0,61.5,56.7,77.4,,46.8,62.9,0,0,0,0,16,25.0,1,0,0,118.8,1,0,0,14,0,27,47,1,0,0,1,0,26,46,0,20,6,1,3,0,1,0,0,16,-1,16.0
JT Tuimoloau,145074,ED,OHIO STATE,1,1,1,,0,1,260,0,0,66.7,88.3,77.5,89.4,65.3,65.8,0,5,0,0,,14.3,1,0,0,0.0,0,2,0,0,0,2,39,39,0,0,39,0,0,0,23,14,0,4,5,0,0,7,0,0,0,
Tyleik Williams,145080,DI,OHIO STATE,1,2,0,,0,0,260,0,0,,68.8,75.6,55.1,77.3,31.2,0,6,0,0,,33.3,2,0,0,0.0,0,0,0,0,0,0,44,44,0,40,1,3,0,0,28,16,0,2,2,1,0,6,0,0,0,
Dominic DeLuca,145095,LB,PENN STATE,1,1,1,50.0,0,0,266,0,0,76.5,76.5,76.7,88.3,53.9,27.6,0,0,1,2,13,50.0,3,0,0,31.3,1,1,0,31,0,14,37,3,0,0,3,0,0,34,4,19,3,0,2,0,2,1,0,13,11,13.0
