player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Gereme Spraggins,144881,LB,MARYLAND,1,0,0,,0,0,215,0,0,63.7,66.3,74.8,63.7,62.7,73.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,23,0,9,27,3,0,0,3,0,0,24,5,13,1,1,1,0,0,1,0,0,0,
Dante Trader Jr.,144900,S,MARYLAND,1,0,0,,0,0,215,0,0,63.8,65.9,74.8,,65.0,76.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,10,21,0,0,0,0,0,13,21,0,11,5,0,1,0,0,0,0,0,0,
Chop Robinson,144901,ED,MARYLAND,1,0,0,100.0,0,0,215,0,0,63.2,69.7,78.5,69.7,65.8,77.6,0,2,0,0,9,0.0,0,0,0,91.7,2,0,0,2,0,8,29,27,0,0,27,0,0,2,6,15,0,1,2,0,2,2,0,12,3,6.0
Taizse Johnson,144902,DI,MARYLAND,1,1,0,,0,0,215,0,0,,59.6,71.7,58.7,60.2,72.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,7,7,5,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,
Branden Jennings,144903,LB,MARYLAND,1,0,0,66.7,0,0,215,0,0,41.2,53.5,75.1,66.6,68.9,73.1,0,0,0,0,29,0.0,0,0,0,100.7,2,0,0,36,0,16,37,0,0,0,0,0,0,37,4,17,1,0,1,0,3,0,0,31,23,15.5
Tommy Akingbesote,144906,DI,MARYLAND,1,0,0,,1,0,215,0,0,,55.6,0.0,74.4,59.5,71.3,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,8,8,4,0,0,4,0,0,4,4,0,1,1,0,0,0,0,0,0,
Corey Coley Jr.,144907,CB,MARYLAND,1,0,0,75.0,0,0,215,0,0,51.4,51.0,73.1,,55.6,79.9,0,0,0,0,26,0.0,0,0,0,107.3,3,0,0,5,17,13,25,1,0,0,1,0,0,24,0,12,2,2,4,0,4,0,0,41,6,13.7
Darrell Jackson Jr.,144910,DI,MARYLAND,1,1,0,,0,0,215,0,0,,71.8,71.4,57.0,73.3,75.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,13,13,0,1,0,12,0,0,6,7,0,1,2,0,0,0,0,0,0,
Zion Shockley,144911,ED,MARYLAND,1,0,0,,0,0,215,0,0,,65.3,67.8,64.9,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,1,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,
Rod Moore,144932,S,MICHIGAN,1,3,0,100.0,0,0,222,0,0,67.4,70.2,79.9,58.2,74.7,64.0,0,0,0,0,11,14.3,1,0,0,91.7,3,0,0,14,1,35,75,1,0,0,1,0,37,74,2,38,22,3,3,0,3,0,0,18,14,6.0
Jaydon Hood,144935,LB,MICHIGAN,1,0,0,,0,0,222,0,0,,65.4,66.2,,63.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,
TJ Guy,144938,ED,MICHIGAN,1,0,0,,0,0,222,0,0,,51.8,74.6,56.5,53.4,23.7,0,1,0,0,,100.0,2,0,0,0.0,0,1,0,0,0,0,11,11,0,0,11,0,0,0,3,8,0,1,0,0,0,2,0,0,0,
Ma'a Gaoteote,144957,LB,MICH STATE,1,0,0,,0,0,223,0,0,62.1,41.9,71.3,56.6,36.5,26.9,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,26,1,7,28,0,0,0,0,0,0,28,2,19,1,0,1,0,0,0,0,0,0,
Derrick Harmon,144962,DI,MICH STATE,1,0,0,,0,0,223,0,0,,53.7,72.2,59.9,53.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,1,14,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,
Justin Walley,144980,CB,MINNESOTA,1,0,0,,0,0,225,0,0,69.6,71.2,75.5,,68.3,27.9,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,1,36,19,37,0,0,0,0,0,0,37,0,18,0,1,1,0,0,0,0,0,0,
Christian Lilienkamp,145021,CB,NEBRASKA,1,0,0,,0,0,238,0,0,,44.9,63.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Reid Carrico,145069,LB,OHIO STATE,1,0,0,,0,0,260,0,0,61.2,48.8,68.9,,47.4,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,4,7,0,0,0,0,0,0,7,0,3,0,1,1,0,0,0,0,0,0,
Denzel Burke,145070,CB,OHIO STATE,1,0,0,25.0,0,0,260,0,0,79.2,79.4,74.4,,60.3,72.5,0,0,0,0,21,0.0,0,2,0,49.0,1,0,0,0,23,18,25,0,0,0,0,0,0,25,0,7,2,0,1,0,4,0,0,21,2,21.0
Jack Sawyer,145071,ED,OHIO STATE,1,1,0,,0,0,260,0,0,,64.6,73.3,54.7,69.8,71.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,0,0,14,0,0,0,10,4,0,0,0,0,0,1,0,0,0,
