player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Terry Lockett Jr.,129625,WR,E MICHIGAN,1,0.0,1,1,19.0,3.6,0,0,0.0,0.0,0,0,1,,1,0,0,160,70.1,64.5,54.8,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Sebastian Brown,129607,WR,KENT STATE,2,0.0,1,1,29.0,3.6,0,0,0.0,0.0,0,0,0,,1,0,0,201,68.4,54.8,29.4,,0,1,2,0,,0.0,0.0,0,0,0,0,0,1,50.0,0,0.0
Jimmy Calloway,124274,WR,TULANE,1,100.0,1,1,50.0,5.0,0,1,100.0,100.0,1,0,0,0.0,1,0,1,319,67.5,59.8,92.5,62.3,0,0,1,1,,158.3,0.0,0,0,0,0,1,0,0.0,42,42.0
Brian Rowe Jr.,199945,WR,S CAROLINA,1,100.0,1,1,12.0,3.6,0,0,0.0,100.0,1,0,0,0.0,1,0,1,289,72.3,60.4,72.6,63.0,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,21,21.0
Brady Hart,199994,QB,TEXAS A&M,1,0.0,1,1,6.0,2.0,0,0,0.0,0.0,0,0,0,,1,0,0,312,67.5,56.5,54.1,60.8,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Isaiah Alston,121550,WR,JAMES MAD,1,0.0,1,1,33.0,3.3,0,0,0.0,0.0,0,0,0,,1,0,0,197,66.4,60.5,58.0,,0,0,1,3,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Caullin Lacy,121426,WR,LOUISVILLE,1,100.0,1,1,3.0,3.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,210,83.7,66.7,73.7,66.6,0,0,1,1,,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0
Luke Nickel,200166,QB,MIAMI FL,1,0.0,1,1,35.0,2.8,0,0,0.0,0.0,0,0,0,,1,0,0,220,60.3,50.2,49.9,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Marcus Bellon,104082,WR,NEVADA,1,0.0,1,1,18.0,3.1,0,0,0.0,0.0,0,0,0,,1,0,0,239,53.4,58.5,54.8,69.0,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Linkon Cure,204094,WR,KANSAS ST,1,0.0,1,1,26.0,3.3,0,0,0.0,0.0,0,0,1,,1,0,0,199,65.9,55.1,37.5,,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Tay Lanier,78216,WR,COLO STATE,2,100.0,1,1,7.0,3.1,0,0,0.0,100.0,1,0,0,0.0,1,0,0,144,70.8,59.2,57.9,,0,0,2,0,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0
Au'Tori Newkirk,205242,QB,N CAROLINA,1,0.0,1,1,14.0,2.0,0,0,0.0,0.0,0,0,0,,1,0,0,245,63.7,26.5,26.8,60.0,0,1,1,0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Christian Neptune,206238,WR,USF,1,100.0,1,1,27.0,3.0,0,1,100.0,100.0,1,0,0,0.0,1,0,1,327,77.9,63.9,88.1,70.6,0,0,1,1,,158.3,0.0,0,0,0,0,1,0,0.0,29,29.0
Karle Lacey Jr.,208850,QB,TEXAS,1,100.0,1,1,7.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,0,311,60.3,62.2,61.6,,0,0,1,0,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0
