player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jacob Finley,158063,CB,N ILLINOIS,1,1,9.0,0,0,254,58.6,56.7,0.0,,67.3,80.2,0.0,0,1,16,16,0.0,0,1
Jaren Kanak,158070,LB,OKLAHOMA,1,0,3.0,0,0,261,61.6,55.2,74.2,55.8,53.6,73.0,0.0,0,0,11,11,9.1,1,1
Kip Lewis,158071,LB,OKLAHOMA,1,1,2.0,0,0,261,35.9,54.2,73.0,60.0,82.1,81.7,0.0,0,0,13,15,23.1,3,4
Robert Spears-Jennings,158074,S,OKLAHOMA,1,1,1.0,0,0,261,37.8,49.1,74.1,71.7,70.4,62.0,0.0,0,0,15,16,6.7,1,1
R Mason Thomas,158080,ED,OKLAHOMA,1,0,,0,0,261,57.3,61.2,0.0,64.5,66.5,21.8,100.0,1,1,16,17,0.0,0,0
Kobie McKinzie,158089,LB,OKLAHOMA,1,0,4.0,0,0,261,62.8,66.4,74.6,59.5,66.7,73.2,0.0,0,0,9,9,11.1,1,1
Peyton Williams,158101,S,S CAROLINA,1,0,3.0,0,0,289,65.3,67.7,70.0,,64.8,79.6,0.0,0,0,4,4,25.0,1,2
Felix Hixon,158107,DI,MIDDLE TN,1,1,,0,0,224,,62.5,71.6,58.4,62.7,70.1,0.0,0,0,4,4,0.0,0,0
Bryan Thomas Jr.,158108,ED,S CAROLINA,1,0,,0,0,289,60.2,90.6,76.7,91.3,60.6,72.2,,0,0,7,7,0.0,0,0
Jace Blackshear,158113,CB,S CAROLINA,1,0,,0,0,289,61.9,62.6,67.8,,60.0,,,0,0,1,1,0.0,0,0
DQ Smith,158116,S,S CAROLINA,1,1,11.0,0,0,289,64.9,63.2,79.4,,56.3,48.0,33.3,1,0,25,25,0.0,0,1
D'Andre Martin,158119,DI,CHARLOTTE,1,0,,0,0,136,,57.9,70.6,60.0,58.3,70.2,,0,0,5,6,0.0,0,0
Nick Emmanwori,158121,S,S CAROLINA,1,1,4.3,0,0,289,86.5,84.3,77.9,70.2,64.6,86.3,0.0,0,0,22,22,9.1,2,3
Stone Blanton,158122,LB,MISS STATE,1,0,2.3,0,0,227,64.8,67.8,75.3,61.0,67.3,52.5,25.0,1,0,30,33,10.0,3,3
Kajuan Banks,158125,CB,USF,1,1,,0,0,327,61.1,62.4,77.2,55.1,68.0,53.6,0.0,0,0,6,6,0.0,0,0
Fisher Camac,158132,ED,UNLV,1,0,2.7,0,0,325,,69.8,77.7,69.6,64.0,76.4,0.0,0,0,19,19,10.5,2,3
Tatuo Martinson,158140,DI,UNLV,1,0,4.3,0,0,325,,57.7,79.8,54.9,59.5,70.5,0.0,0,0,20,20,10.0,2,3
Dillon Moore,158152,LB,W MICHIGAN,1,0,,0,0,347,61.2,55.0,67.0,,55.7,,,0,0,3,3,0.0,0,0
Malachi Finau,158173,DI,HAWAII,1,0,,0,0,180,,43.7,71.6,57.3,45.5,,,0,0,8,8,0.0,0,0
Noah Kema,158176,LB,HAWAII,1,0,5.0,0,0,180,,56.4,68.2,60.0,57.2,74.3,0.0,0,0,5,6,0.0,0,1
