player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Matt Jones,99396,LB,BAYLOR,1,0,7.0,100.0,88.9,7.0,7.0,0,0,0,0.0,118,63.4,78.0,75.4,59.4,79.4,78.4,0,7,0.0,0,0,0,95.8,1,8,9,1,1,1,0,7,0,1.0,7.0
Noah Guzman,99499,S,HOUSTON,1,0,,,100.0,,,0,0,0,,182,60.0,60.0,66.9,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Deshawn McCuin,99502,CB,S DIEGO ST,1,0,6.0,75.0,93.3,9.0,6.8,0,0,0,0.0,284,64.7,63.2,77.7,58.5,57.4,76.9,0,14,0.0,0,0,0,91.7,3,28,30,0,2,4,0,26,8,1.0,8.7
Keenan Garber,99550,CB,KANSAS ST,1,0,9.7,71.4,100.0,6.2,4.4,0,0,1,14.3,199,68.8,68.9,77.2,,61.8,36.7,1,38,40.0,2,0,0,69.6,5,33,33,1,3,7,0,80,18,2.6,16.0
Ray Thornton III,99727,S,UAB,1,0,11.5,0.0,100.0,,5.5,0,0,0,0.0,321,47.3,30.7,72.2,,27.5,26.8,0,,0.0,0,0,0,39.6,0,11,11,0,1,2,0,0,0,0.0,
Demetrius Knight Jr.,99728,LB,S CAROLINA,1,0,,,84.2,,,0,0,0,,289,69.8,56.9,75.0,55.7,43.3,60.6,0,,0.0,0,0,0,0.0,0,16,19,0,1,0,0,0,0,0.0,
Joseph Charleston,99732,S,MISSOURI,1,0,25.0,100.0,100.0,24.0,24.0,0,0,0,0.0,229,57.9,62.7,73.8,,70.1,75.8,0,25,0.0,0,0,0,118.8,1,25,25,0,1,1,0,25,0,1.0,25.0
Cecil Powell,99735,S,TROY,1,0,0.0,100.0,100.0,6.0,6.0,0,0,0,0.0,318,51.5,63.7,72.7,,73.2,79.5,0,2,,0,0,0,118.8,1,6,6,0,0,1,1,2,2,0.3,2.0
Jordan Huff,99745,S,E CAROLINA,1,2,,,92.9,,,0,0,0,,156,67.5,65.6,74.1,59.2,59.8,54.8,0,,0.0,0,0,0,0.0,0,13,14,0,0,0,0,0,0,0.0,
Eugene Asante,99748,LB,AUBURN,1,1,8.3,75.0,85.7,10.7,8.0,0,0,0,0.0,115,51.4,57.9,76.7,68.5,64.6,49.0,0,20,33.3,1,0,0,105.2,3,36,42,1,1,4,0,39,16,1.2,13.0
Adrian Cole,99749,CB,ARK STATE,1,0,,,100.0,,,0,0,0,,113,60.0,64.2,68.4,,63.4,74.2,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Aman Greenwood,99753,CB,AKRON,1,0,1.2,66.7,90.5,4.8,3.2,0,0,0,0.0,102,65.4,63.3,78.8,57.8,57.1,37.2,0,8,33.3,1,0,0,70.1,4,19,21,0,2,6,0,16,22,0.8,4.0
Antonio Clary,99757,S,VIRGINIA,1,3,17.3,28.6,100.0,22.0,6.3,0,0,2,28.6,335,72.3,70.2,78.1,,60.0,67.5,0,5,0.0,0,2,0,39.6,2,45,45,4,8,7,0,8,0,0.2,4.0
Brandon George,99759,LB,PITTSBURGH,1,0,-4.0,100.0,79.5,28.0,28.0,0,0,0,0.0,268,60.2,49.8,0.0,58.0,49.2,82.1,0,6,0.0,0,0,1,91.7,1,31,39,1,1,1,0,6,10,0.2,6.0
LaVonta Bentley,99789,LB,COLORADO,1,0,,,50.0,,,0,0,0,,143,65.0,86.1,77.8,55.0,93.5,80.1,0,,0.0,0,0,0,0.0,0,11,22,2,1,0,0,0,0,0.0,
Rico Watson III,99809,ED,USF,1,0,,,33.3,,,0,0,0,,327,70.2,66.2,0.0,67.8,63.6,74.8,0,,,0,0,1,0.0,0,6,18,0,0,0,0,0,0,0.0,
Kevin Hester Jr.,99852,DI,N CAROLINA,1,0,,,7.7,,,0,0,0,,245,59.3,85.0,75.1,56.5,90.7,76.4,0,,,0,0,0,0.0,0,1,13,0,0,0,0,0,0,0.0,
Keyshawn Swanson,100281,S,W KENTUCKY,1,0,12.3,66.7,100.0,10.0,6.7,0,0,0,0.0,346,47.4,51.0,73.3,,64.2,81.3,0,15,0.0,0,0,0,97.9,2,22,22,0,3,3,0,29,10,1.5,14.5
A.J. Watts,100297,S,MEMPHIS,1,1,14.0,100.0,94.7,17.5,17.5,0,0,0,0.0,218,51.7,54.7,78.5,65.2,62.0,29.2,0,17,40.0,2,0,0,118.8,2,36,38,0,2,2,0,27,-1,0.8,13.5
Kempton Shine,100302,CB,VIRGINIA,1,1,16.0,50.0,100.0,21.5,10.8,0,0,1,25.0,335,70.5,72.0,79.5,,71.3,80.7,0,7,0.0,0,1,0,57.3,2,44,44,2,3,4,0,13,2,0.3,6.5
Kendric Nowling,100309,LB,E MICHIGAN,1,1,14.0,100.0,100.0,3.0,3.0,0,0,0,0.0,160,50.4,45.8,68.0,,60.0,73.2,0,22,0.0,0,0,0,118.8,1,3,3,0,0,1,0,22,8,7.3,22.0
D'Andre Ragin,100316,ED,TOLEDO,1,0,,,3.4,,,0,0,0,,316,60.0,67.4,79.2,64.8,64.8,73.0,0,,,0,0,0,0.0,0,1,29,0,0,0,0,0,0,0.0,
Corey Thomas Jr.,100330,S,VIRGINIA,1,1,3.0,87.5,100.0,6.1,5.4,0,0,1,12.5,335,75.5,77.3,81.2,,75.5,57.3,0,8,50.0,1,0,0,85.4,7,44,44,0,0,8,0,36,34,0.8,5.1
Trikweze Bridges,100378,S,FLORIDA,1,0,2.0,100.0,100.0,1.0,1.0,0,0,0,0.0,163,62.6,47.1,0.0,,54.6,34.6,0,2,0.0,0,0,1,79.2,1,1,1,1,1,1,0,2,0,2.0,2.0
Miles Williams,100382,S,CAL,1,0,21.0,0.0,100.0,,21.0,0,0,0,0.0,130,57.7,60.5,76.6,,65.6,78.6,0,,0.0,0,0,0,39.6,0,23,23,0,1,1,0,0,0,0.0,
Mishael Powell,100390,S,MIAMI FL,1,0,,,100.0,,,0,0,0,,220,60.6,62.3,76.0,,64.9,74.8,0,,,0,0,0,0.0,0,30,30,0,0,0,0,0,0,0.0,
