player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Kosi Agina,128171,S,FRESNO ST,1,0,,,100.0,,,0,0,0,,169,65.8,69.0,72.7,,66.3,77.7,0,,0.0,0,0,0,0.0,0,10,10,0,1,0,0,0,0,0.0,
Tyler Mello,128186,LB,FRESNO ST,1,0,,,40.0,,,0,0,0,,169,60.5,58.4,74.1,58.4,58.2,77.6,0,,,0,0,0,0.0,0,2,5,0,0,0,0,0,0,0.0,
Isaiah Mcelvane,128309,S,LA TECH,1,0,15.0,0.0,100.0,,4.0,0,0,0,0.0,208,61.8,61.0,70.3,,59.9,80.5,0,,,0,0,0,39.6,0,5,5,0,0,1,0,0,0,0.0,
Nohl Williams,128375,CB,CAL,1,0,,,100.0,,,0,0,0,,130,55.7,59.0,74.5,,67.7,76.0,0,,,0,0,0,0.0,0,15,15,0,0,0,0,0,0,0.0,
Jakob Robinson,128395,CB,BYU,1,0,1.5,100.0,93.5,13.5,13.5,0,0,0,0.0,128,77.4,72.2,78.4,56.4,46.7,51.9,0,2,0.0,0,0,0,79.2,2,29,31,3,3,2,0,3,0,0.1,1.5
Tahveon Nicholson,129421,CB,LOUISVILLE,1,1,46.0,100.0,100.0,5.0,5.0,0,0,0,0.0,210,94.5,94.5,71.0,,62.7,76.2,1,40,0.0,0,0,0,118.8,1,5,5,0,0,1,1,40,0,8.0,40.0
Ty Wise,129458,LB,MIAMI OH,1,0,7.0,33.3,75.7,28.0,9.3,0,0,0,0.0,221,63.1,67.4,80.4,53.6,72.6,57.6,1,17,50.0,1,0,0,13.9,1,28,37,0,1,3,0,17,1,0.6,17.0
Yahya Black,129460,DI,IOWA,1,0,,,4.8,,,0,0,0,,192,59.5,69.2,76.0,65.4,70.3,74.8,0,,100.0,1,0,0,0.0,0,1,21,1,0,0,0,0,0,0.0,
Deontae Craig,129464,ED,IOWA,1,1,,,4.9,,,0,0,0,,192,58.0,65.6,78.2,68.6,62.6,76.8,0,,0.0,0,0,0,0.0,0,2,41,2,0,0,0,0,0,0.0,
Jay Higgins,129469,LB,IOWA,1,1,5.8,75.0,97.6,13.0,9.8,0,0,0,0.0,192,47.1,55.9,76.4,60.0,72.6,83.2,0,20,0.0,0,0,0,112.5,3,40,41,0,1,4,0,46,30,1.2,15.3
R.J. Moten,129589,S,FLORIDA,1,0,,,100.0,,,0,0,0,,163,62.6,58.2,67.7,,55.5,,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Flip Dixon,129646,S,RUTGERS,1,0,44.0,0.0,96.9,,27.0,0,0,0,0.0,278,48.2,51.5,79.9,60.0,51.6,55.9,0,,0.0,0,0,0,39.6,0,31,32,0,1,1,0,0,0,0.0,
Ali Saad,129666,ED,BOWL GREEN,1,0,,,4.8,,,0,0,0,,122,60.0,64.8,77.6,61.4,64.7,76.1,0,,,0,0,0,0.0,0,1,21,1,0,0,0,0,0,0.0,
Danny Striggow,129668,ED,MINNESOTA,1,0,,,10.0,,,0,0,0,,225,60.4,68.4,78.5,60.1,71.2,78.2,0,,,0,0,0,0.0,0,2,20,1,0,0,0,0,0,0.0,
Isaac Gifford,129689,S,NEBRASKA,1,0,16.5,50.0,100.0,50.0,25.0,0,0,0,0.0,238,61.9,64.9,77.3,,71.1,81.3,0,23,0.0,0,0,0,91.7,1,53,53,1,2,2,0,23,0,0.5,23.0
Tamon Lynum,129699,CB,PITTSBURGH,1,1,7.6,57.1,100.0,9.8,5.6,0,0,1,14.3,268,61.2,61.0,75.6,,58.5,79.0,0,12,0.0,0,1,1,69.9,4,41,41,0,2,7,0,34,5,0.9,8.5
Garnett Hollis Jr.,129725,CB,W VIRGINIA,1,0,22.2,40.0,100.0,12.0,4.8,0,0,0,0.0,343,67.9,68.2,74.3,,61.4,76.6,0,48,0.0,0,0,0,75.4,2,25,25,1,2,5,0,48,3,2.0,24.0
