player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ben Smiley,99845,ED,UCONN,2,0,,,1.5,,,0,0,0,,146,60.0,64.6,79.5,59.7,67.3,57.8,0,,,0,0,0,0.0,0,1,68,0,0,0,0,0,0,0.0,
Stephon Wright,100437,DI,UCONN,2,0,,,7.9,,,0,0,0,,146,58.1,72.7,77.3,61.9,79.1,58.9,0,,,0,0,0,0.0,0,3,38,0,0,0,0,0,0,0.0,
Levani Damuni,100457,LB,UTAH,2,0,,,71.4,,,0,0,0,,328,63.4,69.5,72.3,61.7,70.5,50.1,0,,,0,0,0,0.0,0,15,21,0,0,0,0,0,0,0.0,
Javin Wright,101373,LB,NEBRASKA,2,0,0.5,50.0,88.9,12.0,6.0,0,0,1,16.7,238,64.8,63.1,76.7,53.2,61.3,50.7,0,14,33.3,1,1,0,56.3,3,40,45,1,2,6,0,14,16,0.4,4.7
Smith Vilbert,101408,ED,N CAROLINA,2,0,,,2.1,,,0,0,0,,245,60.0,57.7,81.0,55.7,59.2,42.0,0,,,0,0,0,0.0,0,1,48,0,0,0,0,0,0,0.0,
Tate Hallock,101668,S,W MICHIGAN,2,1,19.0,33.3,94.0,28.5,9.5,0,0,0,0.0,347,79.3,73.9,79.1,56.6,61.6,70.8,1,21,0.0,0,0,0,4.9,2,63,67,2,6,6,0,21,5,0.4,10.5
Marlon Jones,101808,CB,VANDERBILT,2,0,6.0,75.0,100.0,7.0,5.3,0,0,0,0.0,333,63.7,60.0,75.6,,44.8,78.5,0,15,0.0,0,0,0,93.8,3,23,23,0,3,4,0,28,11,1.3,9.3
Brendan Harrington,102848,LB,GA SOUTHRN,2,1,2.9,85.7,91.7,9.0,7.7,0,0,0,0.0,174,65.5,56.6,78.7,53.7,49.9,41.4,0,26,14.3,1,0,0,96.4,6,55,60,3,5,7,0,50,35,0.9,8.3
Logan Lutui,103655,ED,BYU,2,0,,,27.3,,,0,0,0,,128,60.8,74.0,79.6,61.7,77.4,66.1,0,,,0,0,0,0.0,0,6,22,0,0,0,0,0,0,0.0,
Noah Holmes,104560,LB,E CAROLINA,1,0,,,100.0,,,0,0,0,,156,61.9,65.9,71.3,,64.3,73.1,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Marques White,108130,ED,UMASS,2,0,11.0,0.0,12.5,,5.0,0,0,1,100.0,216,76.6,94.2,81.4,93.0,75.1,78.0,0,,,0,1,0,39.6,0,5,40,1,0,1,0,0,0,0.0,
Tra Thomas,116043,ED,NC STATE,2,0,,,33.3,,,0,0,0,,248,62.0,75.5,79.5,68.5,74.7,80.1,0,,,0,0,0,0.0,0,6,18,0,0,0,0,0,0,0.0,
Elijah Culp,121345,CB,JAMES MAD,1,0,12.8,25.0,93.3,25.0,6.3,0,1,2,50.0,197,67.1,65.8,0.0,70.3,65.6,76.6,0,7,,0,1,2,39.6,1,28,30,0,0,4,0,7,0,0.3,7.0
Sam Howard,121351,LB,TULANE,2,1,3.5,100.0,86.7,18.5,18.5,0,0,0,0.0,319,69.0,61.7,74.2,55.3,55.4,27.4,0,11,0.0,0,0,0,95.8,2,39,45,1,1,2,0,14,7,0.4,7.0
