player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Xavian Sorey Jr.,146724,LB,ARKANSAS,9,2,0,111,68.9,2,14,100,39.2,13.0,13,3,10.0,2,286,112,18,1,70.2,1,9,51,53.0,17.6,9,13.7,2,115,61,12
Marlin Dean,146729,ED,GA STATE,9,0,0,175,76.8,3,10,145,86.7,13.8,20,4,5.2,1,181,157,14,0,79.3,2,6,49,94.8,24.5,12,10.2,1,58,55,9
La'Vell Wright,146736,HB,W KENTUCKY,1,0,0,346,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Jordan Lovett,146745,S,KENTUCKY,9,0,0,202,46.2,0,3,8,3.1,0.0,0,0,18.8,0,255,8,3,0,45.5,0,2,5,5.3,0.0,0,20.0,0,95,5,2
Kahlil Saunders,146752,DI,KENTUCKY,9,1,0,202,71.9,2,15,159,100.0,6.9,11,2,6.6,2,162,162,19,1,80.1,1,10,54,100.0,13.0,7,12.0,1,56,56,12
Jamarius Dinkins,146753,DI,PURDUE,5,0,0,273,59.8,0,1,25,100.0,4.0,1,0,2.0,0,25,25,1,0,56.7,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Sage Ryan,146776,S,OLE MISS,10,0,0,226,72.3,0,0,2,0.8,50.0,1,2,50.0,1,243,2,1,0,58.9,0,0,1,2.1,0.0,0,0.0,0,48,1,0
Zavier Carter,146777,ED,GA STATE,5,0,0,175,63.1,0,0,38,80.0,5.3,2,0,0.0,0,50,40,0,0,58.7,0,0,11,80.0,9.1,1,0.0,0,15,12,0
Gabe Leonards,146793,LB,LSU,1,0,0,211,63.3,0,0,1,33.3,100.0,1,0,0.0,0,3,1,0,0,,0,0,0,,,0,,0,0,0,0
Bryce Langston,146795,DI,FAU,8,0,0,165,56.9,4,7,143,100.0,4.9,7,1,3.8,0,151,151,11,0,58.3,2,2,56,100.0,7.1,4,3.6,0,61,61,4
