player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Stephen Dix Jr.,122396,LB,ARKANSAS,1,7,7.0,3.5,111,0,60.4,1,2,0,8,12,1.14
Rodney Robinson,86527,S,BOISE ST,1,7,7.0,7.0,120,0,100.0,1,1,0,8,5,1.14
Israel Boyce,183875,S,W VIRGINIA,1,7,7.0,7.0,343,0,118.8,1,1,0,14,5,2.0
Joenel Aguero,173536,S,GEORGIA,1,7,7.0,3.5,173,0,56.3,1,2,0,6,0,0.86
Jack Fabris,173102,S,KANSAS ST,1,7,7.0,7.0,199,0,118.8,1,1,0,16,6,2.29
Jalen Catalon,98867,S,UNLV,1,7,7.0,7.0,325,0,79.2,1,1,0,3,0,0.43
Xavier Scott,158226,CB,ILLINOIS,1,20,6.7,4.0,187,0,76.3,3,5,0,29,10,1.45
Ryan Nolan,184356,S,TEXAS ST,1,13,6.5,4.3,314,0,74.3,2,3,0,12,7,0.92
Wesley Walker,97725,S,MICHIGAN,1,19,6.3,4.8,222,1,37.5,3,4,0,12,8,0.63
Adonis Williams Jr.,164130,S,OHIO,1,25,6.3,6.3,259,0,118.8,4,4,0,80,86,3.2
A'Khori Jones,157391,S,LIBERTY,1,12,6.0,6.0,206,0,79.2,2,2,0,6,6,0.5
Montana Warren,171891,S,ARIZONA ST,1,6,6.0,6.0,110,0,158.3,1,1,1,23,4,3.83
